economy,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2010-20S,YR2010-20W,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,,,,,,,,,,52.9958383575633,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,166.653400833213,,,
ALB,,,,,,,,,,,136.188804956643,,,,,,107.987796875734,,,423.624967362825,350.713357505004,408.467464288365,380.69732044878,,,
ARG,,,,,,,,,73.3472108166105,,,,77.0268952898433,,,222.11952802887,232.898713522383,76.066881782992,112.592260968757,,74.3017455338837,70.9192229616572,61.4285873621386,58.9054709205653,70.1191406565652,62.9074200684025
ARM,,,,,,,,,,,99.6142870115898,99.4358975861969,97.1363163006079,,,99.0040665760911,103.236658372342,102.066885096124,112.068937921843,112.806282427895,123.925969526814,123.501921494349,120.529084486906,116.753182544877,,
AZE,,,,,,,,,,,,,,,,,,,,105.461760676678,,,,,,
BEN,,,,,,64.6420053549006,,,,,,,,,,,,,,,,,95.0869973870698,,,
BFA,,,,,,92.1830791452935,,,,,,,,,,,,,68.6673546643682,,,,5.5984104329997,,,
BGD,,,,,,,,45.242993033576,,,,,30.1160718696206,,,,,,,,11.2204730572041,,,,,
BGR,,,,,,,,,,114.39113150863,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,,138.713529665504,134.643523844408,144.273170890591,,,,164.624123973249,168.089062793002,151.506231688036,164.714891170496,165.823940393067,145.770858164095,154.965247956691,151.538737034176,,
BLZ,,,,,,,,,,,,121.805199515931,,,,,,,,,,,,,,
BOL,,,,,,,,,59.1861315202362,53.6016803720721,71.207307741558,81.6369920356891,,,,50.1229226460393,53.326182218074,,37.6449363050658,42.0033171658607,34.1520850054799,47.4899111909403,44.9675733096591,39.761683555913,47.0726942975007,
BRA,,,,,,,,,78.541927080972,,,73.054609051552,,,,72.1830147428082,77.590179215329,,,69.4607877989574,61.7023082971252,62.1976480463707,62.2712234474267,61.6443083297432,80.6569466953586,
BTN,,,,,,,,,,6.80194785373409,,,,,,,201.980878757608,,,,,,,,,
BWA,,,,,,,,,,,,43.7027207061442,,,,,,,,75.5428508524554,,,,,,
CAF,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,62.2353102502434,,,70.4094201367852,,,,67.9350874867417,,75.0788705295276,,73.1947432308329,,73.4704366750022,,,86.9127273340871,
CHN,,,,,,,,,,,,,,,,,,137.092505366636,,,,,,,,
CIV,,,,,23.468340428104,,,,,,73.2572576119517,,,,,,,,,101.807426065893,,,177.002530411983,,,
CMR,,,,,,,,,,72.8890116240388,,,,,,,,,18.7413850266219,,,,,,,
COD,,,,,,,25.8334190874116,,,,,,,,,,59.9049679616146,,,,,,,,,
COG,,,,,,,,153.161886656562,,,,,,,,,,,,,,,,,,
COL,,,,,,,,,,,,,68.5140687001741,,,55.1661994989197,64.8785578863841,,23.9006718841457,40.0449504678374,31.7954793404531,41.6227521165751,34.7125012087461,31.891746083621,57.2207748411075,
COM,,,,,,,64.3632256358273,,,,,,,,,,,,,,,,,,,
CPV,,,,,,,,,,39.0296911143556,,,,,,,,,,,,,,,,
CRI,,,,,,,,,,,76.3558234031258,,58.524191393818,,,52.0433971289552,55.2879395750643,,63.442681908088,59.7280720513125,64.6355456909732,69.2374529602549,64.7101630017029,65.9248181544487,92.4310343124065,
DJI,,,,,,,,,,,,,,,,,90.3017808588805,,,,,,,,,
DMA,,,,,43.3075577724383,,,,,,,,,,,,,,,,,,,,,
DOM,,,,,,,,,,23.7385629696954,25.9719614088212,23.1148079336522,27.9073316970604,,,27.4893639741673,24.1253227713271,26.3789397047986,26.5799488491688,28.7994005595911,27.3629622313957,27.9578993571913,36.6681137763024,24.2539825258665,,
EAS,,,,,,,,,,,,,,128.496710075766,121.556345328492,,,,,,,,,,,
ECS,,,,,,,,,,,,,,141.447775404333,128.47528283413,,,,,,,,,,,
ECU,,,,,,,,,,,44.8777924573731,,42.5481466983529,,,48.3442850516568,46.9526215522629,,40.4248139685817,40.1091809447577,48.9656896002613,41.1921207943489,47.4915152622423,48.5334033935683,46.1285381285264,
EGY,,,,,,,,,,,82.4645582843019,,,,,,,,,,,,,,,
ETH,,,,,,,,,,,,,,,,,,,,14.4909202541718,,,12.3055574102893,,,
FJI,,,,,,,,,,,162.411357958245,,,,,,,123.087500288474,,,,,,,,
FSM,,,63.7488845302731,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,98.3101292172089,,,,,,,,,,,,,,53.6039691758746,,,,
GEO,,,,,,,,,,,,,,,,70.9415225675359,75.878300109294,81.9587080853305,95.1627370001424,88.4594829571007,92.0820016191852,92.5705930754243,91.1031977233887,91.5638237499841,94.0411851322171,96.0635676076651
