economy,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2010-20S,YR2010-20W,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,,,,,,,,,,35.7320063062343,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,89.18420745085,,,
ALB,,,,,,,,,,,32.4083469008763,,,,,,89.2647698183152,,,,,909.451997120981,814.618145020422,,,
ARG,,,,,,,,,73.9740436103773,,,,71.9423436352367,,,258.943175935263,239.959662968301,87.6364020594959,79.8022631029289,,70.8082575501299,68.5000903244087,61.9648889097312,62.1444821103572,60.8793315968327,35.8805035977496
ARM,,,,,,,,,,,102.126492826289,90.9289772806752,83.7097438076507,,,87.3463840541484,103.343928193999,98.4003267866477,104.375102692081,106.560959577422,108.053342862455,111.038071523386,114.257152402172,76.8274623782826,,
AZE,,,,,,,,,,,,,,,,,,,,1.23072948760467,,,,,,
BEN,,,,,,30.8044888341732,,,,,,,,,,,,,,,,,32.4282116677805,,,
BFA,,,,,,78.7128239692659,,,,,,,,,,,,,,,,,3.15686341386393,,,
BGD,,,,,,,,24.5714493108434,,,,,5.92921598320812,,,,,,,,5.48844006011973,,,,,
BGR,,,,,,,,,,111.681438617035,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,,53.2552090353759,106.367692497868,64.8487393797626,,,,199.250013151953,125.49340099938,,,,,,,,
BLZ,,,,,,,,,,,,37.2407738860073,,,,,,,,,,,,,,
BOL,,,,,,,,,43.023137924381,46.4559824386893,110.697744969583,118.459819313657,,,,62.4451540659646,70.9277184061607,,13.0466188716688,19.8956621442435,14.3265354256443,16.1792524161298,12.397985913981,10.5179968789988,31.4337062745477,
BRA,,,,,,,,,72.5989175995404,,,52.2870884726364,,,,48.837694371714,49.9969408776722,,,55.5742796150354,49.3270998870647,52.4531217113829,49.7274688291063,50.8578152120322,60.6986577765703,
BTN,,,,,,,,,,6.80194785373409,,,,,,,,,,,,,,,,
BWA,,,,,,,,,,,,23.7338609441515,,,,,,,,33.6551299073702,,,,,,
CAF,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,34.2386831875932,,,47.6453935459792,,,,43.7170632028425,,43.607684450113,,53.003707602061,,35.9221523216558,,,94.5154318312977,
CHN,,,,,,,,,,,,,,,,,,20.3989896841576,,,,,,,,
CIV,,,,,11.9494338498507,,,,,,50.2034617134178,,,,,,,,,61.8552603291088,,,21.9550947306263,,,
CMR,,,,,,,,,,36.4579213178002,,,,,,,,,2.76341937052921,,,,,,,
