indicator,data.1992,data.1982,data.2020,data.2021,data.2002,data.1993,data.2008,data.1981,data.1988,data.2001,data.2019,data.2000,data.2016,data.1994,data.2004,data.1983,data.2017,data.1990,data.1991,data.1998,data.2015,data.1984,data.2003,data.1999,data.2007,data.1996,data.2014,data.1985,data.2013,data.2005,data.1987,data.1989,data.2018,data.1995,data.1986,data.2006,data.1997,data.2011,data.2010,data.2009,data.2012,note,country
EXP.TOT.CONSTLCU.FTE,49.96067121,12.15812111,93.8555389,74.4099393,62.59760399,51.88169369,81.08902825,14.4614981,50.6885518,66.12256049,86.32039796,64.89995623,93.19219098,50.68995993,87.06595104,12.29438279,99.92149795,55.59312511,43.09199355,64.799487,101.6504747,16.17814128,83.3178353,62.53453706,65.94241063,52.34601445,97.66581951,29.67530716,108.2337098,85.66867777,54.58997456,53.09723687,93.26920675,53.79265063,44.94936094,63.46861562,57.05750338,95.01979049,96.63190658,104.5227985,107.5265369,,GHA
EXP.TOT.PPP.FTE,71.66095947,17.43896955,134.6214494,106.7297039,89.78671131,74.4163731,116.3098379,20.74281238,72.70499311,94.84272354,123.8134395,93.08908429,133.669978,72.70701286,124.8828216,17.63441614,143.322142,79.73985515,61.80888945,92.94497651,145.8020954,23.20507508,119.5067215,89.69625142,94.58432605,75.08237037,140.0867155,42.56470003,155.2447416,122.8786463,78.30098875,76.15988431,133.7804454,77.15734924,64.47299956,91.03604459,81.84028234,136.2913906,138.6037252,149.9220055,154.2304099,,GHA
EXP.TOT.USD.FTE,33.04605034,8.041883194,62.07992783,49.21780554,41.40463934,34.31669391,53.63563069,9.565431822,33.52750061,43.73619108,57.09587457,42.92751016,61.64116214,33.52843201,57.58901415,8.132012296,66.09220356,36.77158786,28.5028234,42.86105566,67.23582016,10.70089049,55.10985568,41.36292427,43.61703253,34.62381483,64.60020472,19.62847317,71.59024361,56.66479992,36.10806268,35.12070435,61.69210355,35.58067972,29.73136286,41.98076239,37.7401881,62.8500119,63.91633203,69.13569367,71.12249023,,GHA
EXP.TOT.ARI.AGGDP,0.519452463,0.148756153,0.531583899,0.384687609,0.547648644,0.623804821,0.594738017,0.177894068,0.564879088,0.602916891,0.534836784,0.614921129,0.586917388,0.576583295,0.635007318,0.151311288,0.620147473,0.631185664,0.457938559,0.650994572,0.690319298,0.222293481,0.666406203,0.605761897,0.568786492,0.530394217,0.691120798,0.425592839,0.757378986,0.597873429,0.630055394,0.570507069,0.587897509,0.572732887,0.575811567,0.550297666,0.604059604,0.671292243,0.657092825,0.69378827,0.743190889,,GHA
EXP.SALARIES.TOT.SHRE,,,,,,,,,,,,,63.7713222,,,,,,,,62.68709802,,,,,,74.17865322,,81.54067994,,,,,,,,,79.40849532,76.12799971,81.4656177,75.74159276,Shares are based on data for CSIR only.,GHA
EXP.OPERAT.TOT.SHRE,,,,,,,,,,,,,32.58858715,,,,,,,,34.95476944,,,,,,22.88047641,,16.83232305,,,,,,,,,20.15381793,23.29772598,17.43748298,21.89773631,Shares are based on data for CSIR only.,GHA
EXP.CAP.TOT.SHRE,,,,,,,,,,,,,3.64009065,,,,,,,,2.358132547,,,,,,2.940870367,,1.626997016,,,,,,,,,0.43768675,0.574274312,1.096899318,2.360670932,Shares are based on data for CSIR only.,GHA
EXP.TOT.CONSTLCU.FTE,,,,,31847.88156,,51365.19682,,,24085.48848,,35851.16013,35814.44906,,43203.932,,,,,52215.40128,36043.57648,,43433.93479,21887.35883,45901.96396,18460.84108,47158.27287,,41949.72778,22029.88257,,,,,,32197.3729,18791.6214,50211.54875,59562.99217,51805.5704,46207.38661,,TZA
EXP.TOT.PPP.FTE,,,,,60.95483896,,98.30975083,,,46.09810763,,68.61686195,68.54659928,,82.6896041,,,,,99.9369886,68.98513472,,83.12981496,41.89102594,87.85346731,35.33288683,90.25796341,,80.28913623,42.1638074,,,,,,61.62374337,35.96597954,96.1017411,113.9998147,99.15259812,88.43802702,,TZA
EXP.TOT.USD.FTE,,,,,20.44895282,,32.98067045,,,15.46485962,,23.0193861,22.99581458,,27.74046887,,,,,33.52657147,23.14293318,,27.88814954,14.05348005,29.47282675,11.85337453,30.27948013,,26.93516687,14.14499198,,,,,,20.67335493,12.06576264,32.23993375,38.24432763,33.26342642,29.66893314,,TZA
EXP.TOT.ARI.AGGDP,,,,,0.360345888,,0.408974621,,,0.288338338,,0.445448981,0.171951964,,0.414867105,,,,,0.70990525,0.182592566,,0.45943261,0.278317874,0.414058652,0.192726001,0.257145901,,0.226040853,0.211480296,,,,,,0.291009979,0.195778325,0.324191601,0.407299986,0.37266215,0.267973171,,TZA
EXP.SALARIES.TOT.SHRE,,,,,,,,,,,,,56.07435664,,,,,,,,50.226984,,,,,,31.1996577,,44.56184127,,,,,,,,,42.94905644,28.94003733,39.20005107,42.87255953,Shares are based on data for TARI and TALIRI only.,TZA
EXP.OPERAT.TOT.SHRE,,,,,,,,,,,,,18.12075897,,,,,,,,19.7427857,,,,,,29.2474581,,29.43593427,,,,,,,,,50.64169924,48.80148434,42.0220506,32.57109762,Shares are based on data for TARI and TALIRI only.,TZA
EXP.CAP.TOT.SHRE,,,,,,,,,,,,,25.80488439,,,,,,,,30.0302303,,,,,,39.5528842,,26.00222446,,,,,,,,,6.409244315,22.25847833,18.77789833,24.55634286,Shares are based on data for TARI and TALIRI only.,TZA
EXP.TOT.CONSTLCU.FTE,104.5955076,,38.4667007,40.42247555,70.43507151,96.39040814,41.16292639,,,77.94223884,34.61630083,67.09759309,45.7141613,91.65277482,66.3923837,,37.19790632,,100.067348,62.13682036,46.07734898,,99.41999498,62.95249478,47.66310109,50.49957732,53.55986646,,49.62750269,61.62770327,,,40.14100576,99.78280329,,59.28518741,126.0667384,52.1999906,32.16261117,35.57844504,70.04037033,Includes estimates for expatriate salaries for 2000–2001.,GMB
EXP.TOT.PPP.FTE,10.31313357,,3.792822762,3.985662472,6.944909171,9.504109461,4.058671041,,,7.685117055,3.413172727,6.615833272,4.507423522,9.036978068,6.546299515,,3.667719436,,9.866656314,6.126700298,4.543233884,,9.802827202,6.207125924,4.699589292,4.979266296,5.281011289,,4.8932796,6.076501272,,,3.957909506,9.838600158,,5.845528838,12.43020031,5.146927315,3.171238539,3.508040298,6.905991572,Includes estimates for expatriate salaries for 2000–2001.,GMB
EXP.TOT.USD.FTE,3.55024138,,1.305659064,1.372043108,2.390748046,3.271739134,1.39717592,,,2.645560673,1.174966558,2.277465418,1.551656575,3.110931637,2.253528792,,1.262592909,,3.39654396,2.109083993,1.563984102,,3.374571128,2.136770087,1.617808619,1.71408594,1.817960049,,1.684485477,2.091803245,,,1.362489297,3.386885778,,2.012292213,4.279030347,1.771802354,1.091682001,1.207624215,2.377350869,Includes estimates for expatriate salaries for 2000–2001.,GMB
EXP.TOT.ARI.AGGDP,2.435555011,,0.320578793,0.288358071,0.887421003,2.193967414,0.345454508,,,0.901485882,0.308184147,0.850966444,0.444658352,1.863662535,0.559932884,,0.359300899,,2.298317259,1.130069944,0.449751799,,1.057130837,0.860550025,0.537022693,1.067029025,0.537947834,,0.420907785,0.522513493,,,0.382135749,1.810858215,,0.633609665,2.2142459,0.46204364,0.202154655,0.262652137,0.58496864,,GMB
EXP.SALARIES.TOT.SHRE,,,,,,,,,,,,,37.15746979,,,,,,,,38.66393428,,,,,,42.08537062,,48.30254455,,,,,,,,,61.83650445,71.31618639,73.73744095,39.56452531,Shares are based on data for NARI only.,GMB
EXP.OPERAT.TOT.SHRE,,,,,,,,,,,,,62.77852931,,,,,,,,61.33606572,,,,,,57.80084996,,51.63850197,,,,,,,,,37.53666056,21.02802255,25.19129683,59.99540692,Shares are based on data for NARI only.,GMB
EXP.CAP.TOT.SHRE,,,,,,,,,,,,,0.064000904,,,,,,,,0,,,,,,0.113779419,,0.058953481,,,,,,,,,0.626834984,7.655791061,1.071262226,0.440067766,Shares are based on data for NARI only.,GMB
EXP.TOT.CONSTLCU.FTE,,,4444.56667,4984.742071,2671.679772,,1271.248522,,,1211.368747,3865.449003,,2007.314803,,2579.364228,,2660.823358,,,,2131.046407,,2587.503495,,2578.533581,,1749.221312,,1437.779909,1822.405213,,,3305.698766,,,2463.756073,,1412.593579,1586.841757,1737.947865,1334.114119,,MRT
EXP.TOT.PPP.FTE,,,27.9805392,31.38118545,16.81942158,,8.003079206,,,7.626109184,24.33473393,,12.63694635,,16.23825386,,16.75107559,,,,13.41589224,,16.28949419,,16.23302456,,11.01213214,,9.051468925,11.4728576,,,20.81085531,,,15.51044871,,8.89290969,9.98988007,10.94116074,8.398846316,,MRT
EXP.TOT.USD.FTE,,,15.81030528,17.73182849,9.50375502,,4.522111763,,,4.309106177,13.75025584,,7.140462095,,9.175368241,,9.465136358,,,,7.580602736,,9.204321413,,9.172413446,,6.222366543,,5.114500687,6.482697842,,,11.75910061,,,8.764124501,,5.024907348,5.644746604,6.182264402,4.745738576,,MRT
EXP.TOT.ARI.AGGDP,,,8.809164664,9.808883779,8.721831923,,3.85429572,,,3.90619949,7.325604887,,4.01069733,,7.949500075,,4.787021707,,,,4.543528891,,7.916437682,,7.845613235,,4.309142594,,4.26757582,5.907453124,,,5.451448955,,,8.156486453,,5.117293786,5.194930553,5.094287931,4.174661427,,MRT
EXP.SALARIES.TOT.SHRE,,,,,,,,,,,,,53.84615385,,,,,,,,56,,,,,,52.17391304,,54.54545455,,,,,,,,,58.33333333,58.94736842,60,58.33333333,Financial data excludes the higher education sector.,MRT
EXP.OPERAT.TOT.SHRE,,,,,,,,,,,,,26.92307692,,,,,,,,24,,,,,,26.08695652,,27.27272727,,,,,,,,,26.04166667,26.31578947,24.44444444,26.04166667,Financial data excludes the higher education sector.,MRT
EXP.CAP.TOT.SHRE,,,,,,,,,,,,,19.23076923,,,,,,,,20,,,,,,21.73913043,,18.18181818,,,,,,,,,15.625,14.73684211,15.55555556,15.625,Financial data excludes the higher education sector.,MRT
EXP.TOT.CONSTLCU.FTE,,,,,,,,,,,,,26.2965651,,,,,,,,29.19143391,,,,,,27.69965297,,24.62767362,,,,,,,,,25.23099456,34.79839984,33.44013061,18.07199111,,SWZ
EXP.TOT.PPP.FTE,,,,,,,,,,,,,6.74186838,,,,,,,,7.484049895,,,,,,7.101589649,,6.314000836,,,,,,,,,6.468679227,8.921554229,8.573323487,4.633266168,,SWZ
EXP.TOT.USD.FTE,,,,,,,,,,,,,3.621551656,,,,,,,,4.020231746,,,,,,3.814784315,,3.391712637,,,,,,,,,3.474801738,4.792420687,4.605360431,2.488866857,,SWZ
EXP.TOT.ARI.AGGDP,,,,,,,,,,,,,0.699058251,,,,,,,,0.758795504,,,,,,0.737263856,,0.648340197,,,,,,,,,0.741615486,1.000885941,1.096065358,0.515433719,,SWZ
EXP.SALARIES.TOT.SHRE,,,,,,,,,,,,,54.77595105,,,,,,,,77.86109808,,,,,,57.248404,,56.17574322,,,,,,,,,82.43287123,60.22192285,59.48821734,84.82862807,Shares are based on data for DARSS only.,SWZ
EXP.OPERAT.TOT.SHRE,,,,,,,,,,,,,44.21714171,,,,,,,,19.26380126,,,,,,42.55057941,,43.82425678,,,,,,,,,17.56712877,32.08805857,36.8982309,15.17137193,Shares are based on data for DARSS only.,SWZ
EXP.CAP.TOT.SHRE,,,,,,,,,,,,,1.006907241,,,,,,,,2.875100656,,,,,,0.201016593,,0,,,,,,,,,0,7.690018578,3.613551761,0,Shares are based on data for DARSS only.,SWZ
EXP.TOT.CONSTLCU.FTE,1079.714651,,,,1103.159349,1110.25384,350.1378584,,,888.3757207,,936.189666,489.3649086,785.6546419,426.1563791,,,,974.3445556,1353.694183,381.6964141,,381.8897455,1168.157009,440.4370718,733.9444457,305.130199,,318.0424591,747.3957105,,,,829.7710317,,669.8554629,734.0139401,270.4445953,509.1272785,565.6531506,294.2586587,Includes estimates for expatriate salaries for 2000–2003.,GAB
EXP.TOT.PPP.FTE,3.314727592,,,,3.386702894,3.408483004,1.074924397,,,2.727316436,,2.874105408,1.502351907,2.41196238,1.30830151,,,,2.991241047,4.155845673,1.171809269,,1.172402797,3.586245926,1.352143285,2.253211905,0.936750732,,0.976391414,2.294507333,,,,2.547399845,,2.056458513,2.253425253,0.830265813,1.563022449,1.736557066,0.903375067,Includes estimates for expatriate salaries for 2000–2003.,GAB
EXP.TOT.USD.FTE,2.288180097,,,,2.337865162,2.352900127,0.742027978,,,1.882685987,,1.984015461,1.037084236,1.664994833,0.903129863,,,,2.064875028,2.868809907,0.808908296,,0.809318012,2.47561114,0.933394153,1.555408248,0.646645711,,0.674009957,1.583914776,,,,1.758488281,,1.419587978,1.555555523,0.573138412,1.078965544,1.198757728,0.623606252,Includes estimates for expatriate salaries for 2000–2003.,GAB
EXP.TOT.ARI.AGGDP,0.215388963,,,,0.270649826,0.207224538,0.110768859,,,0.203254807,,0.21631419,0.09322287,0.132025381,0.106692509,,,,0.203872239,0.247347626,0.085622012,,0.087663195,0.225615179,0.114943267,0.145243557,0.084658171,,0.10012523,0.199886861,,,,0.150269303,,0.187078513,0.135000968,0.091817751,0.162309151,0.149864104,0.097142827,,GAB
EXP.SALARIES.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,70.48595833,,70.48595833,,,,,,,,,70.48595833,66.89084983,60.35293104,70.48595833,Shares are based on data for IRAF only.,GAB
EXP.OPERAT.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,29.51404167,,29.51404167,,,,,,,,,29.51404167,8.266867213,11.86355883,29.51404167,Shares are based on data for IRAF only.,GAB
EXP.CAP.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,0,24.84228296,27.78351013,0,Shares are based on data for IRAF only.,GAB
EXP.TOT.CONSTLCU.FTE,,,,,10.67341718,,14.43704566,,,10.17292464,,9.79806739,11.07028561,,11.35353627,,,,,,18.51964175,,11.12159045,,14.535656,,8.638100073,,11.0588446,11.96118628,,,,,,12.40325618,,9.804060116,10.20445696,14.87607262,10.48037621,,LSO
EXP.TOT.PPP.FTE,,,,,2.720770712,,3.680160752,,,2.593189693,,2.497634483,2.821936814,,2.894140504,,,,,,4.720859124,,2.835014978,,3.705297606,,2.201946134,,2.819020376,3.049037133,,,,,,3.161725583,,2.499162094,2.601227626,3.792073525,2.671562461,,LSO
EXP.TOT.USD.FTE,,,,,1.469938431,,1.98826373,,,1.401010814,,1.349385635,1.524594982,,1.563604141,,,,,,2.550517111,,1.531660662,,2.001844304,,1.189635434,,1.523019331,1.64728944,,,,,,1.708171116,,1.35021095,1.405353431,2.048726335,1.443352913,,LSO
EXP.TOT.ARI.AGGDP,,,,,1.22478397,,1.508401962,,,0.906101599,,0.958266578,0.935248098,,1.309495002,,,,,,1.603704894,,1.229870395,,1.732012304,,0.72570074,,0.863175923,1.406925874,,,,,,1.639139054,,0.916019119,1.021223312,1.42196613,0.973579519,,LSO
EXP.SALARIES.TOT.SHRE,,,,,,,,,,,,,75.37875703,,,,,,,,46.39683636,,,,,,80.06836717,,86.43135013,,,,,,,,,96.22931233,87.47819363,53.70935878,88.30761536,Shares are based on data for DAR only.,LSO
EXP.OPERAT.TOT.SHRE,,,,,,,,,,,,,6.114763651,,,,,,,,8.815868229,,,,,,19.93163283,,13.56864987,,,,,,,,,3.77068767,12.52180637,46.29064122,11.69238464,Shares are based on data for DAR only.,LSO
EXP.CAP.TOT.SHRE,,,,,,,,,,,,,18.50647932,,,,,,,,44.78729542,,,,,,0,,0,,,,,,,,,0,0,0,0,Shares are based on data for DAR only.,LSO
EXP.TOT.CONSTLCU.FTE,17505.55016,,,,3728.02002,11755.45188,6952.293558,,,4073.952066,,2631.895616,4623.520441,6506.462667,4578.822549,,,,17110.78042,4271.147561,4569.80832,,4448.92406,3299.75595,7813.105761,2959.116061,5998.606612,,5178.847061,5157.866024,,,,6064.245998,,6500.957669,3847.320374,6037.966551,6007.84575,7931.29951,5365.865432,,BDI
EXP.TOT.PPP.FTE,41.11520311,,,,8.755983039,27.60997439,16.32881909,,,9.568472006,,6.181520822,10.85924065,15.28169818,10.75425893,,,,40.18800929,10.03162413,10.73308725,,10.44916696,7.750121238,18.35060465,6.950061938,14.08889906,,12.16353367,12.11425561,,,,14.24306598,,15.26876862,9.03618322,14.18134356,14.11059898,18.62820575,12.60278283,,BDI
