indicator,year,countrycode,period,welftype,spell,subgroup,value
WB.SP.meantotal,2008,ALB,2008-2012,CONS,1,National,10.03817
WB.SP.meantotal,2012,ALB,2008-2012,CONS,2,National,9.517231
WB.SP.meantotal,2014,ALB,2014-2017,CONS,1,National,10.14131
WB.SP.meantotal,2017,ALB,2014-2017,CONS,2,National,12.41122
WB.SP.meantotal,2013,ARE,2013-2018,INC,1,National,72.45095059
WB.SP.meantotal,2018,ARE,2013-2018,INC,2,National,78.77590282
WB.SP.meantotal,2006,ARG,2006-2011,INC,1,National,24.16692
WB.SP.meantotal,2011,ARG,2006-2011,INC,2,National,28.93932
WB.SP.meantotal,2007,ARG,2007-2012,INC,1,National,24.92478
WB.SP.meantotal,2012,ARG,2007-2012,INC,2,National,28.67458
WB.SP.meantotal,2009,ARG,2009-2014,INC,1,National,26.4003
WB.SP.meantotal,2014,ARG,2009-2014,INC,2,National,26.94794
WB.SP.meantotal,2011,ARG,2011-2016,INC,1,National,28.93932
WB.SP.meantotal,2016,ARG,2011-2016,INC,2,National,28.14445
WB.SP.meantotal,2012,ARG,2012-2017,INC,1,National,28.67458
WB.SP.meantotal,2017,ARG,2012-2017,INC,2,National,29.55788
WB.SP.meantotal,2013,ARG,2013-2018,INC,1,National,28.79079
WB.SP.meantotal,2018,ARG,2013-2018,INC,2,National,26.79622
WB.SP.meantotal,2014,ARG,2014-2019,INC,1,National,26.94794
WB.SP.meantotal,2019,ARG,2014-2019,INC,2,National,26.09595
WB.SP.meantotal,2016,ARG,2016-2020,INC,1,National,28.14445
WB.SP.meantotal,2020,ARG,2016-2020,INC,2,National,22.84261
WB.SP.meantotal,2016,ARG,2016-2021,INC,1,National,28.14445
WB.SP.meantotal,2021,ARG,2016-2021,INC,2,National,24.76842
WB.SP.meantotal,2006,ARM,2006-2011,CONS,1,National,6.890282
WB.SP.meantotal,2011,ARM,2006-2011,CONS,2,National,7.2667
WB.SP.meantotal,2008,ARM,2008-2013,CONS,1,National,7.844795
WB.SP.meantotal,2013,ARM,2008-2013,CONS,2,National,7.810947
WB.SP.meantotal,2009,ARM,2009-2014,CONS,1,National,6.972358
WB.SP.meantotal,2014,ARM,2009-2014,CONS,2,National,8.011235
WB.SP.meantotal,2010,ARM,2010-2015,CONS,1,National,7.118401
WB.SP.meantotal,2015,ARM,2010-2015,CONS,2,National,8.588196
WB.SP.meantotal,2011,ARM,2011-2016,CONS,1,National,7.2667
WB.SP.meantotal,2016,ARM,2011-2016,CONS,2,National,9.041172
WB.SP.meantotal,2012,ARM,2012-2017,CONS,1,National,7.527843
